date,total_events,conflict_events,severe_conflict_events,conflict_share,severe_conflict_share,rolling_mean,rolling_std,rolling_z,lag1_share
2024-06-06,156148,47247,26015,0.30257832312933886,0.16660475958705842,0.3134357007003904,0.011124798222691627,-0.9759617526280504,0.3021583218290178
2024-06-07,141390,42270,22808,0.2989603225122003,0.16131268123629677,0.3116240491844825,0.011790866863974358,-1.074028467828331,0.30257832312933886
2024-06-08,88424,26286,14426,0.2972722337826834,0.16314575228444766,0.30737967246203934,0.009813400121363582,-1.0299629643503714,0.2989603225122003
2024-06-09,78005,23169,13025,0.29701942183193386,0.1669764758669316,0.3036449089834856,0.007361926490960279,-0.8999664910655115,0.2972722337826834
2024-06-10,126477,37775,20445,0.29867090459134865,0.1616499442586399,0.3006140977554685,0.003913873755775831,-0.4964884626777257,0.29701942183193386
2024-06-11,143947,43132,23467,0.29963806123086967,0.1630252801378285,0.29928890926559415,0.00222181734081476,0.1571470160312463,0.29867090459134865
2024-06-12,145114,43953,23845,0.3028860068635693,0.16431908706258527,0.2994710841296275,0.0021852085178953318,1.562744564638114,0.29963806123086967
2024-06-13,150523,44067,23880,0.29275924609528114,0.15864685131175965,0.29957503913456346,0.002345762915148064,-2.905576260613747,0.3028860068635693
2024-06-14,142792,40804,22082,0.28575830578743905,0.15464451790016248,0.2981723138439838,0.0030734745332639405,-4.039079524554065,0.29275924609528114
2024-06-15,107460,33988,18724,0.316285129350456,0.17424157826167877,0.2962863114547321,0.00555675381136415,3.5990109647874244,0.28575830578743905
2024-06-16,92554,30095,16832,0.32516152732458886,0.18186139983144975,0.2990024393929854,0.00942164436348137,2.776488574860355,0.316285129350456
2024-06-17,134855,43233,23180,0.3205887805420637,0.17188832449668162,0.30302274017765035,0.01353901823769121,1.2974382673856897,0.32516152732458886
2024-06-18,132067,40896,21603,0.3096610053987749,0.16357606366465507,0.30615386531346683,0.014837058209340925,0.2363770523660868,0.3205887805420637
2024-06-19,133951,40711,21319,0.3039245694321058,0.15915521347358363,0.3075857144803104,0.014584939505778325,-0.2510222991843162,0.3096610053987749
2024-06-20,137191,42177,22163,0.30743270331144174,0.16154849807932006,0.3077340805615299,0.014534358180107945,-0.020735504544028352,0.3039245694321058
2024-06-21,135779,42959,23241,0.31638913234005256,0.1711678536445253,0.30983028873526713,0.012990842583963075,0.5048820784636542,0.30743270331144174
2024-06-22,80874,26305,14511,0.325259044934095,0.17942725721492692,0.3142061210999262,0.007550879092906871,1.4637929833298098,0.31638913234005256
2024-06-23,73098,24468,13777,0.3347287203480259,0.1884730088374511,0.3154881090404461,0.008645182173469901,2.225587722908243,0.325259044934095
2024-06-24,126225,40452,21634,0.32047534165181224,0.1713923549217667,0.31685485090093707,0.010893310392711573,0.33235909198892805,0.3347287203480259
2024-06-25,148383,47005,25256,0.3167815720129665,0.1702081774866393,0.31683864534518685,0.010886912266905436,-0.005242380100175437,0.32047534165181224
2024-06-26,146811,47235,24881,0.3217401965792754,0.1694764016320303,0.31785586914721425,0.010427453225059512,0.37250969610932594,0.3167815720129665
2024-06-27,142994,45385,24180,0.3173909394799782,0.16909800411206063,0.32040095873966706,0.008446450982284732,-0.35636497103954756,0.3217401965792754
2024-06-28,132367,42334,22802,0.3198229165879713,0.1722634795681703,0.32182356390660083,0.006516301789127686,-0.3070218942234339,0.3173909394799782
